V1	V2	semantics
bedraggle	00217118	change
beef	00912926	communication
beef-up	00221295	change
beep	02187621	perception
beeswax	01271434	contact
beetle	02703277	stative
beetle-off	02014892	motion
befall	00345654	change
befit	02705783	stative
befog	02162161	perception
befool	02582434	social
befoul	00493346	change
befriend	02594833	social
befuddle	00623406	cognition
beg	00761314	communication
beg-off	00895742	communication
beget	00054345	body
beggar	02713541	stative
begild	01686996	creation
begin	00346415	change
begrime	01536935	contact
begrudge	01831006	emotion
beguile	02584320	social
behave	00010428	body
behead	01574185	contact
behold	02134625	perception
behoove	02674167	stative
behove	02674167	stative
bejewel	01682580	creation
belabor	02420395	social
belabour	02420395	social
belay	01345437	contact
belch	00003443	body
beleaguer	01807344	emotion
belie	02669219	stative
believe	00685199	cognition
believe-in	00735918	cognition
belittle	00866139	communication
bell	01299860	contact
bell-the-cat	02551636	social
bellow	01050441	communication
belly	00258421	change
belly-flop	01967323	motion
belly-land	01984631	motion
belly-dance	01714049	creation
belly-out	00258421	change
bellyache	00912926	communication
bellylaugh	00029735	body
belong	02306641	possession
belong-to	02725805	stative
belt	01707889	creation
belt-along	02062918	motion
belt-down	01204994	consumption
belt-out	01707889	creation
belt-up	01042933	communication
bemire	01536935	contact
bemoan	00913303	communication
bemock	00850760	communication
bemuse	01795261	emotion
bench	02488478	social
bend	02039764	motion
bend-over-backwards	00011354	body
benday	01753869	creation
benefact	02553916	social
benefice	02206303	possession
beneficiate	00578247	change
benefit	02295422	possession
benficiate	00239141	change
benight	01813851	emotion
benumb	02119756	perception
beplaster	01615868	contact
bequeath	02233837	possession
berate	00826456	communication
bereave	02320401	possession
berry	01386756	contact
berth	02341943	possession
beseech	00761702	communication
beseem	02705783	stative
beset	01793315	emotion
beshrew	00867622	communication
besiege	01129837	competition
besmear	01254392	contact
besmirch	00848188	communication
besot	02120101	perception
bespangle	01673801	creation
bespatter	01541417	contact
bespeak	00923271	communication
bespeckle	01541098	contact
bespot	01276093	contact
besprinkle	00229081	change
best	01111670	competition
bestialise	00411169	change
bestialize	00411169	change
bestir	02088053	motion
bestir-oneself	00349195	change
bestow	02268154	possession
bestrew	01380996	contact
bestride	01927367	motion
bet	00920551	communication
bet-on	01141530	competition
betake-oneself	01843905	motion
bethink	02171205	perception
betide	00345654	change
betoken	00923271	communication
betray	00938362	communication
betroth	00888123	communication
better	01109275	competition
bevel	01586914	contact
bewail	00913303	communication
beware	00726626	cognition
bewhisker	02337169	possession
bewilder	00624056	cognition
bewitch	01810472	emotion
bewray	00938362	communication
bias	01088088	competition
bib	01174411	consumption
bicker	00776101	communication
bicycle	01939335	motion
bid	02303593	possession
bide	02643286	stative
biff	01418674	contact
bifurcate	02724738	stative
bight	01345218	contact
bike	01939335	motion
bilge	00259414	change
bilk	02578849	social
bill	02325354	possession
billet	02659254	stative
billow	02045267	motion
bin	01495799	contact
bind	01359453	contact
bind-off	01288641	contact
bind-over	02501241	social
binge	01195632	consumption
bioassay	00696886	cognition
biodegrade	00191552	change
birch	01414632	contact
bird	01142291	competition
bird-nest	01385899	contact
birdie	01601428	contact
birdlime	02087484	motion
birdnest	01385899	contact
birdwatch	01142291	competition
birl	02052221	motion
birle	02052221	motion
birr	02193033	perception
birth	00056644	body
bisect	01553599	contact
bitch	00912926	communication
bite	01448551	contact
bite-off	01448375	contact
bite-out	00987738	communication
bitt	01289157	contact
bitter	02200197	perception
bituminise	00518320	change
bituminize	00518320	change
bivouac	02660091	stative
blab	00939238	communication
blab-out	00939238	communication
blabber	01038676	communication
black	00281302	change
black-market	02247038	possession
black-marketeer	02250948	possession
black-out	02768257	weather
blackball	02509666	social
blackberry	01385743	contact
blacken	00281302	change
blacken-out	00313430	change
blackguard	00853615	communication
blackjack	02587158	social
blacklead	01605742	contact
blackleg	02418069	social
blacklist	02478566	social
blackmail	02587158	social
blacktop	01269168	contact
blackwash	00849045	communication
blame	00844217	communication
blanch	00103373	body
blandish	00881748	communication
blank	02456505	social
blank-out	00610654	cognition
blanket	01361710	contact
blanket-jam	01059709	communication
blare	02186925	perception
blare-out	00977366	communication
blarney	00770823	communication
blaspheme	00867051	communication
blast	02186925	perception
blast-off	01517688	contact
blat	01050202	communication
blat-out	00977366	communication
blate	01050202	communication
blather	01039522	communication
blaze	02770572	weather
blaze-away	01717446	creation
blaze-out	02018715	motion
blaze-up	02768764	weather
blazon	01688075	creation
blazon-out	00976818	communication
bleach	00280592	change
bleach-out	00280592	change
blear	00313791	change
bleat	01050364	communication
bleed	00074587	body
bleep	02191617	perception
blemish	01552687	contact
blench	00103373	body
blend	01465097	contact
blend-in	02706315	stative
bless	00868169	communication
blether	01039522	communication
blight	02777278	weather
blind	02172999	perception
blindfold	01340609	contact
blindside	02602727	social
blink	00007739	body
blink-away	00008435	body
blinker	01340501	contact
blister	00380445	change
blither	01039522	communication
blitz	01128645	competition
blitzkrieg	01095776	competition
bloat	00362450	change
blob	01534786	contact
block	01480632	contact
block-off	01129387	competition
block-out	00713065	cognition
block-up	01480632	contact
blockade	02563025	social
blog	00866944	communication
blood	01236206	contact
bloody	00228553	change
bloom	00295007	change
blossom	00295007	change
blossom-forth	00294522	change
blossom-out	00294522	change
blot	01541716	contact
blot-out	00314788	change
blotch	01700030	creation
bloviate	00830675	communication
blow	00007012	body
blow-dry	00219650	change
blow-a-fuse	01799439	emotion
blow-off	01293548	contact
blow-one's-stack	01799439	emotion
blow-out	00436247	change
blow-out-of-the-water	01813031	emotion
blow-over	00422644	change
blow-up	00307505	change
blub	00067045	body
blubber	00067045	body
blubber-out	00945764	communication
bludgeon	02511255	social
blue	00522721	change
blue-pencil	00201227	change
blueprint	01687477	creation
bluff	01079346	competition
bluff-out	01079346	competition
blunder	02572142	social
blunder-out	00983976	communication
blunt	00228445	change
blur	02162464	perception
blurt	00983976	communication
blurt-out	00983976	communication
blush	00103071	body
bluster	02776320	weather
board	02021901	motion
board-up	01237788	contact
boast	00884747	communication
boat	01948551	motion
boat-race	01089265	competition
bob	01869369	motion
bob-about	01869852	motion
bob-around	01869852	motion
bob-under	02161393	perception
bob-up	02631867	stative
bobble	02533317	social
bobsled	01943670	motion
bode	00873606	communication
bodge	02533317	social
body	02704786	stative
body-surf	01952198	motion
body-forth	02704285	stative
body-guard	02030714	motion
bodypaint	01685530	creation
bog	00364569	change
bog-down	00364395	change
bogey	01601842	contact
boggle	01914772	motion
boil	00375692	change
boil-down	00238590	change
boil-over	00375939	change
boldface	01752724	creation
bollix	02533317	social
bollix-up	02533317	social
bollocks	02533317	social
bollocks-up	02533317	social
