V1	V2	semantics
liquidise	00445264	change
liquidize	02252366	possession
liquify	00445264	change
lisp	00984210	communication
list	00947885	communication
listen	02174335	perception
listen-in	02174748	perception
literalise	00625484	cognition
literalize	00625484	cognition
lithograph	01753202	creation
litigate	02588535	social
litter	02741017	stative
live	02655932	stative
live-down	02621353	stative
live-in	01179611	consumption
live-it-up	01194045	consumption
live-on	02624202	stative
live-out	02625100	stative
live-over	00598611	cognition
live-together	02657288	stative
live-up-to	02677669	stative
live-with	00670723	cognition
liven	00193180	change
liven-up	00193180	change
load	01492646	contact
load-down	01485761	contact
load-up	01492646	contact
loaf	02645690	stative
loan	02329178	possession
loathe	01778347	emotion
lob	01515922	contact
lobby	02464366	social
localise	02701737	stative
localize	02701737	stative
locate	02291049	possession
lock	01350856	contact
lock-away	01350360	contact
lock-in	01350695	contact
lock-out	02454582	social
lock-up	01351134	contact
locomote	01839438	motion
lodge	02658589	stative
lodge-in	02654741	stative
loft	02287097	possession
log	01004526	communication
log-in	02253955	possession
log-in	02253955	possession
log-off	02254101	possession
log-on	02253955	possession
log-out	02254101	possession
log-up	01004663	communication
log-z's	00014735	body
logroll	02380993	social
loiter	02645159	stative
loll	02723576	stative
loll-around	02645690	stative
lollop	01904911	motion
lollygag	02645159	stative
long	01832347	emotion
look	02134989	perception
look-across	02727841	stative
look-after	02171879	perception
look-around	02136885	perception
look-at	00736077	cognition
look-away	02136728	perception
look-back	02136564	perception
look-backward	02136564	perception
look-down-on	01832012	emotion
look-for	01318273	contact
look-forward	00722421	cognition
look-into	00790800	communication
look-like	02671694	stative
look-on	02133118	perception
look-out	02156396	perception
look-out-on	02727841	stative
look-out-over	02727841	stative
look-sharp	00460453	change
look-to	00722541	cognition
look-up	00878614	communication
look-up-to	01831800	emotion
look-upon	00691692	cognition
loom	02702803	stative
loop	02048694	motion
loose	02426474	social
loose-off	01136801	competition
loosen	00420328	change
loosen-up	01482312	contact
loot	02350284	possession
lop	01563513	contact
lop-off	01301854	contact
lope	01932683	motion
lord	02403996	social
lord-it-over	02599707	social
lose	02292634	possession
lose-it	01788114	emotion
lose-one's-temper	01799439	emotion
lose-sight-of	02134482	perception
lose-track	00596701	cognition
lot	02474388	social
louden	02194923	perception
lounge	01531127	contact
lounge-about	02645690	stative
lounge-around	02645690	stative
lour	00532569	change
louse-up	02533317	social
love	01779085	emotion
low	01056890	communication
lowball	00675685	cognition
lower	01977139	motion
lower-oneself	02523493	social
lube	01487608	contact
lubricate	02757472	stative
luck-into	02217428	possession
luck-it	02550634	social
luck-out	02530405	social
luck-through	02550634	social
lucubrate	00957633	communication
luff	01932107	motion
lug	01456857	contact
luge	01943893	motion
lull	01767495	emotion
lumber	01929501	motion
luminesce	02772181	weather
lump	01388574	contact
lunch	01187837	consumption
lunge	02066140	motion
lurch	01928835	motion
lure	00784574	communication
lurk	02646137	stative
lust	01191018	consumption
lust-after	01832198	emotion
lustrate	00477469	change
luxate	00466675	change
luxuriate	01207423	consumption
lynch	02489986	social
lyophilise	00212662	change
lyophilize	00212662	change
lyric	01702775	creation
lysogenize	00467928	change
macadamise	01606339	contact
macadamize	01606339	contact
macerate	00399859	change
machicolate	02366810	possession
machinate	01654986	creation
machine	01627206	creation
machine-wash	01539902	contact
machine-gun	01139261	competition
machine-wash	01539902	contact
macrame	01674796	creation
maculate	01540197	contact
madden	01791641	emotion
madder	00286353	change
madrigal	01735895	creation
magnetise	00779567	communication
magnetize	00400694	change
magnify	00435030	change
mail	01440525	contact
mail-out	01440362	contact
maim	00090640	body
mainline	01202003	consumption
maintain	02687605	stative
major	00609022	cognition
make	02566500	social
make-a-clean-breast-of	00819570	communication
make-a-face	00034281	body
make-a-motion	00880877	communication
make-a-point	02601231	social
make-a-stink	00912607	communication
make-as-if	00107272	body
make-believe	00840203	communication
make-bold	02380015	social
make-clean	01535377	contact
make-do	02593624	social
make-for	01632781	creation
make-full	00453467	change
make-fun	00853615	communication
make-good	02585225	social
make-grow	00254647	change
make-happy	02497032	social
make-hay	01165513	consumption
make-headway	01113439	competition
make-it	02626004	stative
make-love	01429048	contact
make-merry	02497032	social
make-no-bones-about	00819413	communication
make-noise	02177332	perception
make-off	02077642	motion
make-out	02197640	perception
make-over	01673180	creation
make-pass	02056400	motion
make-peace	01095998	competition
make-pure	00476114	change
make-relaxed	00025647	body
make-sense	02625692	stative
make-sure	02601231	social
make-unnecessary	00550632	change
make-up	02626667	stative
make-up-one's-mind	00699355	cognition
make-vibrant-sounds	01054808	communication
make-water	00071765	body
make-way	02102610	motion
make-whoopie	02497032	social
maledict	00867622	communication
malfunction	01528083	contact
malign	00849849	communication
malinger	02469555	social
malnourish	01181573	consumption
malt	00186146	change
maltreat	02522260	social
malversate	02297496	possession
mambo	01901482	motion
man	02426091	social
manacle	01290804	contact
manage	02528530	social
mandate	02400745	social
manducate	01203727	consumption
maneuver	01935739	motion
mangle	01393140	contact
manhandle	01414743	contact
manicure	00042372	body
manifest	00822637	communication
manifold	00248588	change
manipulate	02541995	social
manoeuver	02374389	social
manoeuvre	02374389	social
mantle	02089567	motion
manufacture	01656984	creation
manumit	02502147	social
manure	02087334	motion
map	01691771	creation
map-out	01759993	creation
mapquest	00650686	cognition
mar	00478872	change
maraud	02024089	motion
marble	01685387	creation
marbleise	00524516	change
marbleize	00524516	change
marcel	00039098	body
march	02000767	motion
march-on	01996535	motion
march-out	02088170	motion
marginalise	02382611	social
marginalize	02382611	social
marinade	00213970	change
marinate	00213970	change
mark	01591414	contact
mark-down	02325058	possession
mark-off	00235426	change
mark-out	00235426	change
mark-up	02324804	possession
market	02303121	possession
maroon	02233137	possession
marry	02494483	social
marshal	01992339	motion
martyr	01607942	contact
martyrise	00071399	body
martyrize	00071399	body
marvel	00927461	communication
masculinise	00567646	change
masculinize	00567972	change
mash	01596858	contact
mask	02152033	perception
masquerade	02152392	perception
mass	02028014	motion
mass-produce	01628928	creation
massacre	00480107	change
massage	01235302	contact
master	00599029	cognition
mastermind	00711834	cognition
masticate	01238231	contact
masturbate	01433585	contact
mat	01465557	contact
mat-up	00566669	change
match	02663315	stative
mate	01431486	contact
materialise	00344828	change
materialize	00344828	change
matriculate	02476626	social
matt-up	00566669	change
matte	00566669	change
matte-up	00566669	change
matter	02651923	stative
matter-to	02684473	stative
maturate	00251067	change
mature	00251067	change
maul	01234836	contact
maunder	01886074	motion
max-out	02011125	motion
maximise	00429823	change
maximize	00429536	change
mean	00957180	communication
meander	01886807	motion
measure	00648747	cognition
measure-out	00648747	cognition
measure-up	02684822	stative
mechanise	00481682	change
mechanize	00481682	change
meddle	02544767	social
mediate	00763001	communication
medicate	00084315	body
medicine	00083983	body
meditate	00632042	cognition
meet	02026953	motion
meet-up-with	02026823	motion
melanise	00281547	change
melanize	00281547	change
meld	00904761	communication
meliorate	00206293	change
mellow	00255558	change
mellow-out	00255372	change
melodise	01710615	creation
melodize	01710615	creation
melt	00445584	change
melt-down	00445584	change
melt-off	00045548	body
memorialise	00770107	communication
memorialize	00770107	communication
memorise	00605971	cognition
memorize	00605971	cognition
menace	02702962	stative
mend	00261534	change
menstruate	00061974	body
mensurate	00648747	cognition
mention	01026199	communication
mentor	00831608	communication
meow	01054654	communication
mercerise	00185843	change
mercerize	00185843	change
merchandise	02265169	possession
merge	00368338	change
merit	02652462	stative
mesh	01513459	contact
mesmerise	00779567	communication
mesmerize	00779567	communication
mess	01178376	consumption
mess-about	02645159	stative
mess-around	01475976	contact
mess-up	02533317	social
message	01073654	communication
metabolise	01200388	consumption
metabolize	01200388	consumption
metal	01606224	contact
metalize	01618506	contact
metallize	01618506	contact
metamorphose	00384726	change
metastasise	00104421	body
metastasize	00104421	body
mete-out	02299397	possession
meter	00491522	change
metricate	00382002	change
metricise	00384435	change
metricize	00384435	change
metrify	01706882	creation
mew	01054654	communication
mewl	00065796	body
miaou	00943751	communication
miaow	00943751	communication
micro-cook	00322737	change
microcopy	01740404	creation
microfilm	01716309	creation
microwave	00322737	change
micturate	00071765	body
middle	01501137	contact
miff	01790439	emotion
migrate	01860612	motion
mildew	00211164	change
militarise	01101280	competition
militarize	01101280	competition
militate	02435976	social
milk	00194514	change
mill	01906119	motion
mill-about	02645159	stative
mill-around	02645159	stative
mime	01747412	creation
mimeo	01699152	creation
mimeograph	01699152	creation
mimic	01747412	creation
mince	01059908	communication
mind	00850387	communication
mine	01165936	consumption
mineralize	00586782	change
mingle	01464634	contact
miniate	01700788	creation
miniaturise	00242382	change
miniaturize	00242382	change
minify	00442400	change
minimise	00842804	communication
minimize	00428755	change
minister	02555089	social
minor	00609193	cognition
minstrel	01734097	creation
mint	01642647	creation
mire	02684097	stative
mirror	02772883	weather
misaddress	00993057	communication
misadvise	00877635	communication
misalign	00467240	change
misally	02435268	social
misapply	01163606	consumption
misapprehend	00621541	cognition
misappropriate	02297496	possession
misbehave	02522868	social
misbelieve	00686426	cognition
miscalculate	00714218	cognition
miscall	00973356	communication
miscarry	02534046	social
miscast	01714932	creation
miscegenate	02744996	stative
misconceive	00621541	cognition
misconduct	02522868	social
misconstrue	00621541	cognition
miscount	00950634	communication
miscreate	00703342	cognition
misdate	00621175	cognition
misdeal	02251690	possession
misdeliver	01441222	contact
misdemean	02522868	social
misdirect	02585532	social
misdo	02568929	social
misestimate	00714218	cognition
misfire	01137079	competition
misfunction	01528083	contact
misgauge	00675260	cognition
misgive	00735477	cognition
misgovern	02593071	social
misguide	02004320	motion
mishandle	02533317	social
misidentify	00619957	cognition
misinform	00835688	communication
misinterpret	00941213	communication
misjudge	00673109	cognition
mislay	01505740	contact
mislead	02004320	motion
mismanage	02443726	social
mismarry	02495012	social
mismatch	01296629	contact
mismate	01296151	contact
misname	00973356	communication
misperceive	02122323	perception
misplace	01505740	contact
misplay	01653237	creation
misprint	01750647	creation
mispronounce	00953633	communication
misquote	01025790	communication
misread	00629355	cognition
misremember	00619295	cognition
misrepresent	00838384	communication
miss	02132318	perception
misspeak	00953633	communication
misspell	00940177	communication
misspend	02714161	stative
misstate	00800905	communication
mist	00362148	change
mist-over	00362148	change
mistake	00619957	cognition
mistime	00492249	change
mistranslate	00962485	communication
mistreat	02522260	social
mistrust	00689827	cognition
misunderstand	00621541	cognition
misuse	01163606	consumption
miter	01587120	contact
mitigate	00907990	communication
mix	00395719	change
mix-in	00396941	change
mix-up	01660937	creation
mizzle	02763433	weather
moan	01047291	communication
mob	02068059	motion
mobilise	01100371	competition
mobilize	00271014	change
mock	00850760	communication
mock-up	01701301	creation
model	01747665	creation
moderate	00815452	communication
modernise	00411945	change
modernize	00262962	change
modify	00169614	change
modulate	01733021	creation
moil	02424873	social
moisten	00218382	change
moisturise	00216226	change
moisturize	00216226	change
mold	01700922	creation
molder	00210263	change
molest	02575410	social
mollify	01769244	emotion
mollycoddle	02576182	social
molt	00009140	body
monetise	02486820	social
monetize	02486820	social
monger	02307797	possession
mongrelise	01432296	contact
mongrelize	01432296	contact
monish	00872857	communication
monitor	02167732	perception
monkey	01588939	contact
monkey-around	01475976	contact
monologuise	00966510	communication
monologuize	00966510	communication
monopolise	02447411	social
monopolize	02447411	social
monumentalise	00613981	cognition
monumentalize	00613981	cognition
moo	01056890	communication
mooch	02275249	possession
moon	02423305	social
moon-about	01809214	emotion
moon-around	02423008	social
moon-on	02423008	social
moonlight	02425706	social
moonshine	00229284	change
moor	01308202	contact
moot	00814706	communication
mop	01395993	contact
mop-up	01395993	contact
mope	01922662	motion
mope-around	01922662	motion
moralise	00940652	communication
moralize	00940652	communication
morph	00470100	change
mortar	01364994	contact
mortgage	02356733	possession
mortice	01296385	contact
mortify	01806052	emotion
mortise	01296385	contact
mosey	01922176	motion
mosh	01901878	motion
mothball	02286486	possession
mother	02556213	social
mothproof	01157291	competition
motion	00994073	communication
motivate	01653541	creation
motley	00437832	change
motor	01934070	motion
motorbike	01939907	motion
motorboat	01949136	motion
motorcycle	01939907	motion
motorise	00481682	change
motorize	02230954	possession
mottle	01700030	creation
mould	01700922	creation
moulder	00210263	change
moult	00009140	body
mound	01664280	creation
mound-over	01610775	contact
mount	01345886	contact
mount-up	01927367	motion
mountaineer	01926888	motion
mourn	01801062	emotion
mouse	01915881	motion
mousse	00039663	body
mouth	00944022	communication
mouth-off	01053828	communication
move	01839438	motion
move-around	01913805	motion
move-back	01998474	motion
move-back-and-forth	01880523	motion
move-in	01860082	motion
move-in-on	02023027	motion
move-into	02020375	motion
move-involuntarily	00010047	body
move-on	01996535	motion
move-out	02410046	social
move-over	01852407	motion
move-reflexively	00010047	body
move-through	01919358	motion
move-up	01973786	motion
mow	01322222	contact
mow-down	00480107	change
muck	00178494	change
muck-about	01475976	contact
muck-around	01475976	contact
muck-up	02533317	social
muckrake	00936776	communication
mud	01537533	contact
mud-wrestle	01507542	contact
muddle	01422521	contact
muddy	01255439	contact
muddy-up	01255439	contact
mudwrestle	01507542	contact
muff	02535562	social
muffle	01571411	contact
mug	02282508	possession
mug-up	00607178	cognition
mulch	01236943	contact
mulct	02578034	social
mull	00632042	cognition
mull-over	00632042	cognition
multiply	00643334	cognition
mumble	01046405	communication
mummify	02686168	stative
munch	01204331	consumption
munition	02339752	possession
murder	02488014	social
murk	00312842	change
murmur	01045986	communication
muscle	02023283	motion
muscle-into	01877410	motion
muse	00632042	cognition
mush	01943537	motion
mushroom	01385091	contact
muss	01476516	contact
mussitate	01046405	communication
muster	01384203	contact
muster-in	01099911	competition
muster-out	01100154	competition
muster-up	01384203	contact
mutate	00119681	change
mute	02195757	perception
mutilate	00293434	change
mutiny	02590043	social
mutter	01046405	communication
muzzle	02345893	possession
mystify	00624056	cognition
mythicise	00625328	cognition
mythicize	00625328	cognition
mythologise	01638276	creation
mythologize	01638276	creation
nab	01603680	contact
nag	00846620	communication
nail	01360534	contact
nail-down	02530563	social
name	01030757	communication
namedrop	01027098	communication
nap	00015491	body
narcotise	00085259	body
narcotize	00085259	body
nark	01791774	emotion
narrate	00956303	communication
narrow	00305890	change
narrow-down	00717446	cognition
nasale	00987625	communication
nasalise	00953431	communication
nasalize	00953431	communication
nationalise	00579372	change
nationalize	00412472	change
natter	01040538	communication
naturalise	00413918	change
naturalize	00413217	change
nauseate	02199637	perception
navigate	01850262	motion
nazify	00503166	change
near	02057865	motion
neaten	00276642	change
necessitate	02634015	stative
neck	01428804	contact
necrose	00097148	body
need	02634015	stative
needle	00853413	communication
negate	02669219	stative
negative	02478854	social
neglect	00616690	cognition
negociate	02528530	social
negotiate	00763758	communication
neigh	01061615	communication
neighbor	02614211	stative
neighbour	02614211	stative
nerve	01810238	emotion
nest	02661042	stative
nestle	01427599	contact
net	02296219	possession
net-fish	01145876	competition
netmail	01034323	communication
nett	01368648	contact
nettle	02125180	perception
network	01034712	communication
neuter	00060248	body
neutralise	01329983	contact
neutralize	02541562	social
nibble	01449348	contact
nick	01261705	contact
nickel	01398317	contact
nickel-and-dime	02271629	possession
nicker	01061615	communication
nickname	01030649	communication
nictate	00007739	body
nictitate	00007739	body
niggle	01797944	emotion
nip	01459400	contact
nip-off	01459092	contact
nitpick	00847897	communication
nitrate	00185248	change
nitrify	00505982	change
nitrogenise	00505757	change
nitrogenize	00505757	change
nix	00797525	communication
nobble	02578034	social
nock	01278326	contact
nod	00900197	communication
nod-off	00017275	body
noise	02177332	perception
nol.pros.	00363921	change
nolle-pros	00363921	change
nolle-prosequi	00363921	change
nominate	00881061	communication
nonplus	00624056	cognition
noose	01677525	creation
normalise	00469496	change
normalize	00469496	change
nose	02173563	perception
nose-out	02129925	perception
nosedive	01971641	motion
nosh	01175702	consumption
notarise	00823762	communication
notarize	00823762	communication
notate	00997331	communication
notch	01279534	contact
note	01022014	communication
notice	02158938	perception
notify	00875364	communication
nourish	01205348	consumption
novate	00578407	change
novelise	00116427	change
novelize	00116427	change
nucleate	02632355	stative
nudge	01233816	contact
nuke	01135714	competition
nullify	02483482	social
numb	02119756	perception
number	02651091	stative
numerate	00950103	communication
nurse	00080458	body
nurture	00910304	communication
nut	01385374	contact
nutate	01880304	motion
nutrify	01206811	consumption
nuzzle	01427599	contact
o.d.	00085106	body
o.k.	00808164	communication
obey	02548492	social
obfuscate	00942245	communication
object	00809123	communication
objectify	00533687	change
objurgate	00865823	communication
obligate	02512195	social
oblige	02512195	social
obliterate	00479761	change
obnubilate	02162161	perception
obscure	02162161	perception
observe	02158938	perception
obsess	01787033	emotion
obsolesce	00568852	change
obstinate	00351543	change
obstipate	00074483	body
obstruct	02563025	social
obtain	02242867	possession
obtrude	01877150	motion
obtrude-upon	02023568	motion
obtund	00192688	change
obturate	01479113	contact
obviate	02635337	stative
occasion	01650070	creation
occidentalise	00524725	change
occidentalize	00524725	change
occlude	01479113	contact
occult	02162770	perception
occupy	02420961	social
occur	00340744	change
odorize	02130106	perception
odourise	02130106	perception
off	02488014	social
offend	01793089	emotion
offer	02301687	possession
offer-up	02619522	stative
officer	00754341	communication
officialise	00524384	change
officialize	00524384	change
officiate	02387229	social
offload	02237863	possession
offsaddle	01495233	contact
offset	02723890	stative
ogle	02168498	perception
oil	01271135	contact
oink	01056566	communication
okay	00808164	communication
omen	00873606	communication
omit	00617464	cognition
one-step	01901670	motion
ooh	00867440	communication
ooze	02075902	motion
ooze-out	00067770	body
ooze-through	01608458	contact
opacify	00578766	change
opalesce	02771189	weather
opalise	00117038	change
opalize	00117038	change
open	01348685	contact
open-fire	01138209	competition
open-up	01348685	contact
operate	02448714	social
operate-on	00083562	body
opine	01029677	communication
oppose	00777876	communication
oppress	02429499	social
oppugn	00869073	communication
opsonize	00578916	change
opt	00681308	cognition
opt-out	00681634	cognition
optimise	00172518	change
optimize	00172518	change
orate	00830562	communication
orb	02047875	motion
orbit	02047875	motion
orchestrate	01711596	creation
ordain	02432763	social
order	00748704	communication
ordinate	02391154	social
organise	00405549	change
organize	02453050	social
orient	02719059	stative
orientalise	00524975	change
orientalize	00524975	change
orientate	02163627	perception
originate	02630344	stative
originate-in	02633747	stative
ornament	01679858	creation
orphan	02320257	possession
oscillate	02711906	stative
osculate	02758306	stative
ossify	00268135	change
ostentate	02146446	perception
ostracise	02509666	social
ostracize	02509666	social
oust	02406951	social
out	00937488	communication
out-herod	01110116	competition
out-in	02021151	motion
outbalance	02651681	stative
outbid	02305961	possession
outbrave	01119637	competition
outcall	02305695	possession
outclass	00661044	cognition
outcrop	00425452	change
outcry	01107597	competition
outdistance	02086042	motion
outdo	01108050	competition
outdraw	01107937	competition
outface	02137454	perception
outfight	01111842	competition
outfit	02344409	possession
outflank	02089693	motion
outfox	01110217	competition
outgeneral	01112184	competition
outgo	01108050	competition
outgrow	00544825	change
outguess	00919622	communication
outlast	02625819	stative
outlaw	02486512	social
outline	01008466	communication
outlive	02625819	stative
outmaneuver	01112658	competition
outmanoeuvre	01112658	competition
outmarch	01113291	competition
outmatch	01108050	competition
outmode	00560831	change
outnumber	02650989	stative
outpace	01109081	competition
outperform	01108050	competition
outplay	01157423	competition
outpoint	01950138	motion
output	01625832	creation
outrage	01814414	emotion
outrange	01109850	competition
outrank	02679633	stative
outride	02625202	stative
outrival	01125056	competition
outroar	01107707	competition
outrun	01931561	motion
outsail	01107796	competition
outscore	01103514	competition
outsell	01108915	competition
outshine	02769124	weather
outshout	01107597	competition
outsmart	01107263	competition
outsource	02366099	possession
outspan	01494174	contact
outstare	02137454	perception
outstay	02643550	stative
outstrip	01108050	competition
outvie	01125056	competition
outvote	02468420	social
outwear	02711163	stative
outweigh	01109955	competition
outwit	01107263	competition
oven-broil	00329180	change
ovenbake	00320922	change
over-correct	02526026	social
over-refine	00475239	change
overachieve	02568150	social
overact	01754981	creation
overarch	02650855	stative
overawe	01783720	emotion
overbalance	02651681	stative
overbear	02653268	stative
overbid	02306112	possession
overboil	00375939	change
overburden	00752848	communication
overcapitalise	00733385	cognition
overcapitalize	00733385	cognition
overcast	02776675	weather
overcharge	02324030	possession
overclothe	00049026	body
overcloud	02776978	weather
overcome	01110559	competition
overcompensate	02678648	stative
overcook	00324372	change
overcrop	01745573	creation
overcrowd	02032027	motion
overcultivate	01745573	creation
overdo	02574914	social
overdose	00085106	body
overdramatise	00990724	communication
overdramatize	00990724	communication
overdraw	02317166	possession
overdress	00049026	body
overdrive	02413660	social
overeat	01195632	consumption
overemphasise	00842288	communication
overemphasize	00842288	communication
overestimate	00673936	cognition
overexert	02377066	social
overexert-oneself	01148848	competition
overexploit	01166884	consumption
overexpose	02118105	perception
overextend	01168214	consumption
overfatigue	00075751	body
overfeed	01181827	consumption
overfill	00454509	change
overflow	02076087	motion
overfly	01844034	motion
overgeneralise	01024266	communication
overgeneralize	01024266	communication
overgorge	01195632	consumption
overgrow	02675498	stative
overhang	02719623	stative
overhaul	02053645	motion
overhear	02193614	perception
overheat	00370916	change
overindulge	01195632	consumption
overjoy	01817195	emotion
overlap	02666709	stative
overlay	01339317	contact
overleap	02575311	social
overlie	01550579	contact
overload	01491476	contact
overlook	02170805	perception
overmaster	01112928	competition
overpay	02254885	possession
overplay	01754981	creation
overpopulate	02657109	stative
overpower	01112928	competition
overpraise	00859089	communication
overprice	02356374	possession
overprint	01752081	creation
overproduce	01744349	creation
overprotect	02556213	social
overrate	00673936	cognition
overreach	02531534	social
overreact	00720041	cognition
overrefine	00475239	change
override	00718035	cognition
overrule	00718035	cognition
overrun	02024265	motion
oversee	02447914	social
oversew	01333124	contact
overshadow	02750155	stative
overshoot	01137645	competition
oversimplify	02575150	social
oversleep	00015706	body
overspecialise	00438931	change
overspecialize	00438931	change
overspend	02272572	possession
overspread	02695141	stative
overstate	00841513	communication
overstay	02643550	stative
overstep	02023426	motion
overstock	02328600	possession
overstrain	01168214	consumption
overstress	00842288	communication
overstretch	00071556	body
overstuff	01527854	contact
oversupply	02361703	possession
overtake	01157556	competition
overtax	02313255	possession
overthrow	02407551	social
overtire	00075751	body
overtop	02701971	stative
overtrump	01080819	competition
overturn	01913390	motion
overuse	01164011	consumption
overvalue	00697241	cognition
overweary	00075751	body
overwhelm	01813288	emotion
overwinter	02715447	stative
overwork	01673069	creation
overwrite	01001124	communication
ovulate	00062168	body
owe	02258963	possession
own	02209474	possession
own-up	00819570	communication
oxidate	00240207	change
oxidise	00239753	change
oxidize	00240207	change
oxygenate	00185610	change
oxygenise	00309557	change
oxygenize	00309557	change
oyster	01386165	contact
ozonise	00586882	change
ozonize	00586882	change
pace	01933207	motion
pacify	01769244	emotion
pack	01485079	contact
pack-on	00106914	body
pack-together	01391983	contact
package	01487784	contact
pad	00958437	communication
paddle	01951746	motion
padlock	01344694	contact
paganise	00572815	change
paganize	00572815	change
page	00756605	communication
paginate	00951125	communication
pain	00070587	body
paint	01688794	creation
paint-a-picture	00932330	communication
paint-the-lily	01681137	creation
pair	02496079	social
pair-off	02496079	social
pal	02595027	social
pal-up	02595027	social
palatalise	00953101	communication
palatalize	00953101	communication
palaver	01038676	communication
pale	00103373	body
palisade	01133033	competition
pall	00539279	change
palliate	00907990	communication
palm	01213301	contact
palm-off	02249208	possession
palpate	01212916	contact
palpebrate	00008055	body
palpitate	01893385	motion
palsy	00269566	change
palter	00837185	communication
pamper	02576182	social
pan	02002334	motion
pan-broil	00329389	change
pan-fry	00326850	change
pan-off	01539296	contact
pan-out	02531651	social
pan-roast	00325886	change
pander	01184590	consumption
panel	01682414	creation
panhandle	02275823	possession
panic	01786037	emotion
pant	00005526	body
pant-hoot	01044867	communication
pantomime	01728062	creation
paper	01271021	contact
par	01086742	competition
parachute	01972282	motion
parade	01928665	motion
paragraph	02474866	social
parallel	02665300	stative
parallel-park	01938701	motion
parallelize	01501254	contact
paralyse	00269682	change
paralyze	00269682	change
paraphrase	00963768	communication
parboil	00323360	change
parcel	02474508	social
parcel-out	02299397	possession
parch	00218756	change
pardon	00907805	communication
pare	00233461	change
pare-down	00233461	change
parent	02545454	social
parget	01364264	contact
park	01496037	contact
parlay	01142049	competition
parley	00765054	communication
parody	01727840	creation
parole	02598049	social
parrot	00960206	communication
parry	01149526	competition
parse	00645572	cognition
part	02034003	motion
part-with	02350643	possession
partake	02742535	stative
partake-in	02455282	social
parti-color	00285429	change
participate	02455121	social
particularise	01023982	communication
particularize	01023982	communication
partition	01566505	contact
partition-off	01566505	contact
partner	02337082	possession
partner-off	02496079	social
party	02497500	social
pass	02054081	motion
pass-across	01919358	motion
pass-along	00744289	communication
pass-around	02047080	motion
pass-away	00359085	change
pass-by	02055618	motion
pass-judgment	00672179	cognition
pass-off	02138957	perception
pass-on	02235554	possession
pass-out	00023639	body
pass-over	00618188	cognition
pass-through	01919358	motion
pass-up	02242120	possession
pass-water	00071765	body
pass-with-flying-colors	02528247	social
paste	01334887	contact
pasteurise	00365282	change
pasteurize	00365282	change
pasture	01579309	contact
pat	01246225	contact
patch	01593092	contact
patch-up	00263589	change
patent	02244474	possession
patinate	01268063	contact
patinise	01268063	contact
patinize	01268063	contact
patrol	02460361	social
patronage	01187544	consumption
patronise	02471557	social
patronize	02224722	possession
patter	02763786	weather
pattern	01747665	creation
pattern-bomb	01135620	competition
pauperise	02322950	possession
pauperize	02322950	possession
pause	02647119	stative
pave	01269662	contact
paw	01214019	contact
pawn	02352216	possession
pay	02256551	possession
pay-back	02349377	possession
pay-cash	02322528	possession
pay-for	02390082	social
pay-heed	02174871	perception
pay-off	02296965	possession
pay-out	02306463	possession
pay-up	02257739	possession
peach	00939238	communication
peak	02012080	motion
peal	02185848	perception
pearl	01386454	contact
peck	01246038	contact
peck-at	01175953	consumption
peculate	02297496	possession
pedal	01939335	motion
peddle	02307797	possession
pedicure	00042667	body
pee	00071765	body
pee-pee	00071765	body
peek	02169748	perception
peel	01265500	contact
peel-off	01265779	contact
peep	02169590	perception
peer	02173409	perception
peer-review	00857476	communication
peeve	01792751	emotion
peg	02530563	social
peg-away	02420703	social
peg-down	01342965	contact
pelt	01510546	contact
pelt-along	02062918	motion
pen	01702148	creation
pen-up	01348559	contact
penalise	02505278	social
penalize	02505278	social
pencil	01692499	creation
penetrate	01230239	contact
penny-pinch	02271629	possession
pension	02267409	possession
pension-off	02385713	social
people	00452416	change
pep-up	00860463	communication
pepper	02200527	perception
peptise	00331719	change
peptize	00331719	change
perambulate	02170198	perception
perceive	02110960	perception
perch	01546513	contact
percolate	02075555	motion
percuss	01250587	contact
peregrinate	02085253	motion
perennate	02624957	stative
perfect	00474503	change
perforate	01445398	contact
perform	01716563	creation
perfume	02130847	perception
perfuse	00455430	change
peril	02702962	stative
perish	00359085	change
perjure	00836424	communication
perk	00023466	body
perk-up	00023466	body
perm	00039537	body
permeate	01231635	contact
permit	00803980	communication
permute	00381095	change
perorate	01053570	communication
peroxide	00280431	change
perpetrate	02588700	social
perpetuate	02654355	stative
perplex	00624056	cognition
persecute	02591574	social
perseverate	00960855	communication
persevere	00351115	change
persist	02653599	stative
persist-in	02753797	stative
personalise	00388736	change
personalize	00388736	change
personate	00838967	communication
personify	02704786	stative
perspire	00067316	body
persuade	02592213	social
pertain	02681865	stative
perturb	01768023	emotion
peruse	02157242	perception
pervade	01231635	contact
pervaporate	00368069	change
pervert	02585532	social
pester	01807344	emotion
pestle	00332652	change
pet	01428543	contact
peter-out	02689494	stative
petition	00756776	communication
petrify	00192803	change
pettifog	00776101	communication
phase	01652436	creation
phase-in	01646259	creation
phase-out	01646362	creation
philander	02597066	social
philosophise	00631688	cognition
philosophize	00631688	cognition
phlebotomise	00085829	body
phlebotomize	00085829	body
phonate	00747173	communication
phone	00791110	communication
phosphoresce	02638116	stative
photocopy	01740180	creation
photograph	01005294	communication
photosensitise	02119213	perception
photosensitize	02119213	perception
photostat	01740550	creation
phrase	00982485	communication
pick	00678369	cognition
pick-apart	00828170	communication
pick-at	01612019	contact
pick-off	02490464	social
pick-out	00676526	cognition
pick-over	00679463	cognition
